Period,Date,MonthID,Category,Manufacturer,MOLECULE,SKU,Units,Sales
OCT23-SEP24,1/08/2024,202408,ALIMENTARY T.& METABOLISM,ACCORD HEALTHCARE,ONDANSETRON,ONDANSETRON ACCORD AMPOULE 4 MG 10 X 2 ML,25,1071.025
OCT23-SEP24,1/04/2024,202404,ALIMENTARY T.& METABOLISM,ACCORD HEALTHCARE,ONDANSETRON,ONDANSETRON ACCORD AMPOULE 4 MG 10 X 2 ML,67,2327.20778
OCT24-SEP25,1/02/2025,202502,ALIMENTARY T.& METABOLISM,ACCORD HEALTHCARE,ONDANSETRON,ONDANSETRON ACCORD AMPOULE 8 MG 10 X 4 ML,67,2939.31447
OCT23-SEP24,1/06/2024,202406,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,COLECALCIFEROL,VITAMIN D3 WEEKLY SOFT GEL CAPSULES 7000 IU 30,1862,40302.21571
OCT23-SEP24,1/02/2024,202402,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,COLECALCIFEROL,VITAMIN D3 WEEKLY SOFT GEL CAPSULES 7000 IU 30,1923,41622.50669
OCT24-SEP25,1/11/2024,202411,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,CYCLIZINE,NAUSICALM TABLETS 50 MG 100,431,27769.7714
OCT23-SEP24,1/06/2024,202406,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,CYCLIZINE,NAUSICALM TABLETS 50 MG 6,7109,56411.09935
OCT24-SEP25,1/11/2024,202411,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,CYCLIZINE,NAUSICALM TABLETS 50 MG 6,8977,71233.03268
OCT24-SEP25,1/08/2025,202508,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,CYCLIZINE,NAUSICALM TABLETS 50 MG 6,9393,74408.39918
OCT24-SEP25,1/09/2025,202509,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,CYCLIZINE,NAUSICALM TABLETS 50 MG 6,10040,79534.86236
OCT23-SEP24,1/12/2023,202312,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,GRANISETRON,GRANISETRON-AFT AMPOULES 3 MG /3ML 3 ML,6,16.00353
OCT23-SEP24,1/10/2023,202310,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,MICONAZOLE,DECOZOL ORAL GEL 2 % 40 G,385,6705.47785
OCT23-SEP24,1/12/2023,202312,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,ONDANSETRON,ONDANSETRON AFT AMPOULE 4 MG 5 X 2 ML,193,1901.05
OCT23-SEP24,1/08/2024,202408,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,ONDANSETRON,ONDANSETRON AFT AMPOULE 4 MG 5 X 2 ML,188,2721.3
OCT24-SEP25,1/08/2025,202508,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,ONDANSETRON,ONDANSETRON AFT AMPOULE 4 MG 5 X 2 ML,221,2542.93
OCT24-SEP25,1/02/2025,202502,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,ONDANSETRON,ONDANSETRON AFT AMPOULE 4 MG 5 X 2 ML,235,6027.05882
OCT24-SEP25,1/12/2024,202412,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,ONDANSETRON,ONDANSETRON AFT AMPOULES 8 MG 5 X 4 ML,7,124.02733
OCT24-SEP25,1/06/2025,202506,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,ONDANSETRON,ONDANSETRON-CLARIS AMPOULES 4 MG 5 X 2 ML,2,25.33892
OCT23-SEP24,1/10/2023,202310,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,SCOPOLAMINE BUTYL HYDROXIDE,HYOSCINE BUTYLBROMIDE AFT AMPOULE 20 MG 1 ML,10,185.78372
OCT23-SEP24,1/04/2024,202404,ALIMENTARY T.& METABOLISM,AFT PHARMACEUTICAL,TROPISETRON,TROPISETRON-AFT AMPOULES 5 MG 5 ML,4,79.96
OCT23-SEP24,1/10/2023,202310,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ACARBOSE,ACARBOSE MYLAN TABLETS 50 MG 90,184,4567.84998
OCT23-SEP24,1/06/2024,202406,ALIMENTARY T.& METABOLISM,ALPHAPHARM,CALCITRIOL,SICAL CAPSULES 0.25 Y 100 BP,85,2216.84233
OCT23-SEP24,1/08/2024,202408,ALIMENTARY T.& METABOLISM,ALPHAPHARM,CALCITRIOL,SICAL CAPSULES 0.25 Y 100 BP,99,2595.0029
OCT24-SEP25,1/12/2024,202412,ALIMENTARY T.& METABOLISM,ALPHAPHARM,CALCITRIOL,SICAL CAPSULES 0.25 Y 100 BP,109,2936.42664
OCT23-SEP24,1/05/2024,202405,ALIMENTARY T.& METABOLISM,ALPHAPHARM,CALCITRIOL,SICAL CAPSULES 0.25 Y 100 BT,1962,51154.67636
OCT23-SEP24,1/03/2024,202403,ALIMENTARY T.& METABOLISM,ALPHAPHARM,CALCITRIOL,SICAL CAPSULES 0.25 Y 100 BT,1744,45273.5329
OCT24-SEP25,1/12/2024,202412,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ESOMEPRAZOLE,ESOMEPRAZOLE MYLAN ENTERIC COATED TABLETS 20 MG 30,1700,29448.69613
OCT24-SEP25,1/04/2025,202504,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ESOMEPRAZOLE,ESOMEPRAZOLE MYLAN ENTERIC COATED TABLETS 20 MG 30,2190,30361.6125
OCT24-SEP25,1/09/2025,202509,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ESOMEPRAZOLE,ESOMEPRAZOLE MYLAN ENTERIC COATED TABLETS 20 MG 30,2481,46266.515
OCT23-SEP24,1/11/2023,202311,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ESOMEPRAZOLE,ESOMEPRAZOLE VIATRIS ENTERIC-COATED TABLETS 20 MG 30,9812,167901.3495
OCT24-SEP25,1/04/2025,202504,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ESOMEPRAZOLE,ESOMEPRAZOLE VIATRIS ENTERIC-COATED TABLETS 20 MG 30,25020,420713.0544
OCT24-SEP25,1/11/2024,202411,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ESOMEPRAZOLE,ESOMEPRAZOLE VIATRIS ENTERIC-COATED TABLETS 20 MG 30,7462,127681.376
OCT24-SEP25,1/05/2025,202505,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ESOMEPRAZOLE,ESOMEPRAZOLE VIATRIS ENTERIC-COATED TABLETS 20 MG 30,27657,463668.7356
OCT24-SEP25,1/11/2024,202411,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ESOMEPRAZOLE,ESOMEPRAZOLE VIATRIS ENTERIC-COATED TABLETS 40 MG 30,4818,92898.34049
OCT24-SEP25,1/01/2025,202501,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ESOMEPRAZOLE,ESOMEPRAZOLE VIATRIS ENTERIC-COATED TABLETS 40 MG 30,4925,94660.40042
OCT23-SEP24,1/04/2024,202404,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ESOMEPRAZOLE,NOXICID EC CAPS 20 MG 30 BTTL,44224,731131.1797
OCT24-SEP25,1/11/2024,202411,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ESOMEPRAZOLE,NOXICID EC CAPS 20 MG 30 BTTL,44853,761911.6826
OCT24-SEP25,1/07/2025,202507,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ESOMEPRAZOLE,NOXICID EC CAPS 20 MG 30 BTTL,6629,112728.485
OCT23-SEP24,1/10/2023,202310,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ESOMEPRAZOLE,NOXICID EC CAPS 40 MG 30 BTTL,10014,190432.2365
OCT23-SEP24,1/12/2023,202312,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ESOMEPRAZOLE,NOXICID EC CAPS 40 MG 30 BTTL,9536,181576.5905
OCT23-SEP24,1/01/2024,202401,ALIMENTARY T.& METABOLISM,ALPHAPHARM,GLIBENCLAMIDE + METFORMIN,GLUCOVANCE TABLETS 500 MG /2.5 90,403,5161.18557
OCT23-SEP24,1/05/2024,202405,ALIMENTARY T.& METABOLISM,ALPHAPHARM,GLIBENCLAMIDE + METFORMIN,GLUCOVANCE TABLETS 500 MG /5MG 90,1359,19837.86021
OCT24-SEP25,1/05/2025,202505,ALIMENTARY T.& METABOLISM,ALPHAPHARM,GLIBENCLAMIDE + METFORMIN,GLUCOVANCE TABLETS 500 MG /5MG 90,1115,16420.0436
OCT24-SEP25,1/02/2025,202502,ALIMENTARY T.& METABOLISM,ALPHAPHARM,GLICLAZIDE,GLICLAZIDE MR VIATRIS MODIFIED RELEASE TABLETS 30 MG 100,3367,60360.79952
OCT23-SEP24,1/08/2024,202408,ALIMENTARY T.& METABOLISM,ALPHAPHARM,GLICLAZIDE,GLYADE MODIFIED RELEASE TABLET 30 MG 100,150,2583.54122
OCT24-SEP25,1/09/2025,202509,ALIMENTARY T.& METABOLISM,ALPHAPHARM,LANSOPRAZOLE,ZOPRAL CAPSULES 15 MG 30,2586,38399.76752
OCT23-SEP24,1/06/2024,202406,ALIMENTARY T.& METABOLISM,ALPHAPHARM,LANSOPRAZOLE,ZOPRAL CAPSULES 30 MG 28,4347,72847.12961
OCT24-SEP25,1/07/2025,202507,ALIMENTARY T.& METABOLISM,ALPHAPHARM,LANSOPRAZOLE,ZOPRAL CAPSULES 30 MG 28,4492,74492.00197
OCT23-SEP24,1/03/2024,202403,ALIMENTARY T.& METABOLISM,ALPHAPHARM,LANSOPRAZOLE,ZOPRAL ODT 15 MG 28,807,12816.96572
OCT23-SEP24,1/09/2024,202409,ALIMENTARY T.& METABOLISM,ALPHAPHARM,LANSOPRAZOLE,ZOPRAL ODT 15 MG 28,867,13452.99734
OCT24-SEP25,1/09/2025,202509,ALIMENTARY T.& METABOLISM,ALPHAPHARM,LANSOPRAZOLE,ZOPRAL ODT 15 MG 28,2028,30517.37283
OCT24-SEP25,1/07/2025,202507,ALIMENTARY T.& METABOLISM,ALPHAPHARM,LANSOPRAZOLE,ZOPRAL ODT 15 MG 28,1130,16629.09257
OCT23-SEP24,1/07/2024,202407,ALIMENTARY T.& METABOLISM,ALPHAPHARM,LANSOPRAZOLE,ZOPRAL ODT 30 MG 28,3242,51870.10431
OCT24-SEP25,1/05/2025,202505,ALIMENTARY T.& METABOLISM,ALPHAPHARM,LANSOPRAZOLE,ZOPRAL ODT 30 MG 28,3440,51582.89053
OCT23-SEP24,1/11/2023,202311,ALIMENTARY T.& METABOLISM,ALPHAPHARM,MEBEVERINE,COLESE FILM COATED TABLETS 135 MG 30,1454,17245.44379
OCT24-SEP25,1/04/2025,202504,ALIMENTARY T.& METABOLISM,ALPHAPHARM,MEBEVERINE,COLESE FILM COATED TABLETS 135 MG 30,1572,18243.7897
OCT24-SEP25,1/04/2025,202504,ALIMENTARY T.& METABOLISM,ALPHAPHARM,MEBEVERINE,COLESE FILM COATED TABLETS 135 MG 90,3007,65704.89914
OCT24-SEP25,1/11/2024,202411,ALIMENTARY T.& METABOLISM,ALPHAPHARM,MEBEVERINE,COLESE FILM COATED TABLETS 135 MG 90,2964,65322.63703
OCT24-SEP25,1/04/2025,202504,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN,DIABEX FILM COATED TABLETS 1000 MG 90,6749,132062.0224
OCT24-SEP25,1/03/2025,202503,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN,DIABEX FILM COATED TABLETS 1000 MG 90,6577,126890.9852
OCT23-SEP24,1/05/2024,202405,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN,DIABEX FILM COATED TABLETS 500 MG 100,7426,133913.1452
OCT23-SEP24,1/09/2024,202409,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN,DIABEX FILM COATED TABLETS 500 MG 100,6552,119985.1364
OCT23-SEP24,1/02/2024,202402,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN,DIABEX FILM COATED TABLETS 500 MG 100,6106,110429.501
OCT24-SEP25,1/05/2025,202505,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN,DIABEX FILM COATED TABLETS 500 MG 100,7655,136407.7598
OCT23-SEP24,1/09/2024,202409,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN,DIABEX FILM COATED TABLETS 850 MG 60,1017,18003.46937
OCT24-SEP25,1/04/2025,202504,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN,DIABEX FILM COATED TABLETS 850 MG 60,1181,20282.86495
OCT24-SEP25,1/12/2024,202412,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN,DIABEX FILM COATED TABLETS 850 MG 60,1076,19238.37245
OCT23-SEP24,1/12/2023,202312,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN,DIABEX XR TABLETS 500 MG 120,16353,323268.5378
OCT23-SEP24,1/05/2024,202405,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN,DIABEX XR TABLETS 500 MG 120,13945,264491.3823
OCT23-SEP24,1/10/2023,202310,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN,DIABEX XR TABLETS 500 MG 120,14455,279436.2788
OCT24-SEP25,1/11/2024,202411,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN,DIABEX XR TABLETS 500 MG 120,14345,277204.6002
OCT24-SEP25,1/01/2025,202501,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN,DIABEX XR TABS 1 G 60,23826,437774.6159
OCT24-SEP25,1/01/2025,202501,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN + SITAGLIPTIN,SITAGLIPTIN/METFORMIN MYLAN FILM COATED TABLETS 50MG/1000MG 56,1257,48899.95482
OCT23-SEP24,1/09/2024,202409,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN + SITAGLIPTIN,SITAGLIPTIN/METFORMIN MYLAN FILM COATED TABLETS 50MG/500MG 56,317,11836.5174
OCT24-SEP25,1/08/2025,202508,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METFORMIN + SITAGLIPTIN,SITAGLIPTIN/METFORMIN MYLAN FILM COATED TABLETS 50MG/850MG 56,197,6837.06694
OCT24-SEP25,1/04/2025,202504,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METOCLOPRAMIDE,PRAMIN TABLETS 10 MG 100,818,21586.43317
OCT23-SEP24,1/09/2024,202409,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METOCLOPRAMIDE,PRAMIN TABLETS 10 MG 25,29496,365062.9543
OCT23-SEP24,1/01/2024,202401,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METOCLOPRAMIDE,PRAMIN TABLETS 10 MG 25,27576,339031.6394
OCT23-SEP24,1/07/2024,202407,ALIMENTARY T.& METABOLISM,ALPHAPHARM,METOCLOPRAMIDE,PRAMIN TABLETS 10 MG 25,31547,390753.2711
OCT23-SEP24,1/12/2023,202312,ALIMENTARY T.& METABOLISM,ALPHAPHARM,NIZATIDINE,TACIDINE CAPSULES 150 MG 60,10492,231627.4083
OCT23-SEP24,1/12/2023,202312,ALIMENTARY T.& METABOLISM,ALPHAPHARM,OMEPRAZOLE,MAXOR CAPSULES 20 MG 30,1982,33130.79622
OCT24-SEP25,1/07/2025,202507,ALIMENTARY T.& METABOLISM,ALPHAPHARM,OMEPRAZOLE,MAXOR CAPSULES 20 MG 30,3065,52316.99656
OCT23-SEP24,1/08/2024,202408,ALIMENTARY T.& METABOLISM,ALPHAPHARM,OMEPRAZOLE,MAXOR HEARTBURN RELIEF CAPSULES 20 MG 14,159,1240.27335
OCT23-SEP24,1/07/2024,202407,ALIMENTARY T.& METABOLISM,ALPHAPHARM,OMEPRAZOLE,MAXOR HEARTBURN RELIEF CAPSULES 20 MG 14,172,1364.30068
OCT24-SEP25,1/08/2025,202508,ALIMENTARY T.& METABOLISM,ALPHAPHARM,OMEPRAZOLE,MAXOR HEARTBURN RELIEF CAPSULES 20 MG 14,181,1892.41708
OCT24-SEP25,1/11/2024,202411,ALIMENTARY T.& METABOLISM,ALPHAPHARM,OMEPRAZOLE,MAXOR HEARTBURN RELIEF CAPSULES 20 MG 14,168,1377.63696
OCT23-SEP24,1/06/2024,202406,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON ALPHAP AMPOULES 4 MG 2 ML,40,533.42857
OCT23-SEP24,1/11/2023,202311,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON ALPHAP AMPOULES 4 MG 2 ML,210,1520.70732
OCT23-SEP24,1/07/2024,202407,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON ALPHAP AMPOULES 4 MG 2 ML,170,2441.54
OCT24-SEP25,1/02/2025,202502,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON ALPHAP AMPOULES 4 MG 2 ML,60,161.53846
OCT24-SEP25,1/07/2025,202507,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON ALPHAP AMPOULES 4 MG 2 ML,25,29.3398
OCT23-SEP24,1/06/2024,202406,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON ALPHAP AMPOULES 4 MG 5 X 2 ML,423,4979.46148
OCT23-SEP24,1/01/2024,202401,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON ALPHAP AMPOULES 4 MG 5 X 2 ML,452,5390.67839
OCT23-SEP24,1/03/2024,202403,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON ALPHAP AMPOULES 4 MG 5 X 2 ML,460,5403.7803
OCT24-SEP25,1/03/2025,202503,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON ALPHAP AMPOULES 4 MG 5 X 2 ML,46,669.38625
OCT24-SEP25,1/10/2024,202410,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON ALPHAP AMPOULES 4 MG 5 X 2 ML,29,385.4026
OCT24-SEP25,1/12/2024,202412,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON ALPHAP AMPOULES 4 MG 5 X 2 ML,19,246.52148
OCT23-SEP24,1/10/2023,202310,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON ALPHAP AMPOULES 8 MG 5 X 4 ML,117,2205.4927
OCT24-SEP25,1/02/2025,202502,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON ALPHAP AMPOULES 8 MG 5 X 4 ML,10,180.5
OCT23-SEP24,1/12/2023,202312,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN FILM COATED TABLETS 4 MG 10,1170,23328.23609
OCT23-SEP24,1/11/2023,202311,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN FILM COATED TABLETS 4 MG 10,1241,25147.50714
OCT23-SEP24,1/01/2024,202401,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN FILM COATED TABLETS 4 MG 4,436,6883.2067
OCT23-SEP24,1/07/2024,202407,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN FILM COATED TABLETS 8 MG 10,89,2010.8608
OCT23-SEP24,1/04/2024,202404,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN FILM COATED TABLETS 8 MG 10,501,11366.35337
OCT24-SEP25,1/03/2025,202503,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN FILM COATED TABLETS 8 MG 10,46,1047.95455
OCT24-SEP25,1/08/2025,202508,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN FILM COATED TABLETS 8 MG 10,52,1124.76
OCT23-SEP24,1/06/2024,202406,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN FILM COATED TABLETS 8 MG 4,251,3777.04529
OCT23-SEP24,1/08/2024,202408,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN FILM COATED TABLETS 8 MG 4,331,5435.5659
OCT23-SEP24,1/10/2023,202310,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN ODT 4 MG 10,5064,102900.776
OCT24-SEP25,1/03/2025,202503,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN ODT 4 MG 10,204,4453.4808
OCT24-SEP25,1/11/2024,202411,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN ODT 4 MG 10,953,20273.76675
OCT24-SEP25,1/01/2025,202501,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN ODT 4 MG 10,300,6413.54566
OCT23-SEP24,1/07/2024,202407,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN ODT 4 MG 4,1961,29111.28412
OCT24-SEP25,1/05/2025,202505,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN ODT 4 MG 4,51,790.67094
OCT23-SEP24,1/11/2023,202311,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN ODT 8 MG 10,5307,119773.3176
OCT23-SEP24,1/08/2024,202408,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN ODT 8 MG 4,1122,18207.24732
OCT23-SEP24,1/07/2024,202407,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON MYLAN ODT 8 MG 4,1026,16180.14844
OCT24-SEP25,1/05/2025,202505,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON VIATRIS AMPOULES 8 MG 5 X 4 ML,65,1385.5262
OCT23-SEP24,1/08/2024,202408,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON VIATRIS FILM COATED TABLETS 4 MG 10,871,17847.7341
OCT24-SEP25,1/03/2025,202503,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON VIATRIS FILM COATED TABLETS 4 MG 4,1497,21323.51966
OCT24-SEP25,1/12/2024,202412,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON VIATRIS FILM COATED TABLETS 4 MG 4,236,3347.11851
OCT24-SEP25,1/08/2025,202508,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON VIATRIS FILM COATED TABLETS 8 MG 4,247,3726.63333
OCT24-SEP25,1/09/2025,202509,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON VIATRIS FILM COATED TABLETS 8 MG 4,215,3517.13203
OCT24-SEP25,1/10/2024,202410,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON VIATRIS ODT 4 MG 10,379,7555.67561
OCT24-SEP25,1/08/2025,202508,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON VIATRIS ODT 4 MG 10,3878,80761.95938
OCT24-SEP25,1/07/2025,202507,ALIMENTARY T.& METABOLISM,ALPHAPHARM,ONDANSETRON,ONDANSETRON VIATRIS ORALLY DISINTEGRATING TABLETS 8 MG 4,576,9530.65812
OCT23-SEP24,1/05/2024,202405,ALIMENTARY T.& METABOLISM,ALPHAPHARM,PANTOPRAZOLE,SALPRAZ TABLETS 20 MG 30,25979,394447.3183
OCT23-SEP24,1/11/2023,202311,ALIMENTARY T.& METABOLISM,ALPHAPHARM,PANTOPRAZOLE,SALPRAZ TABLETS 20 MG 30,26927,407856.8955
OCT23-SEP24,1/06/2024,202406,ALIMENTARY T.& METABOLISM,ALPHAPHARM,PANTOPRAZOLE,SALPRAZ TABLETS 40 MG 30,52652,807796.9913
OCT24-SEP25,1/03/2025,202503,ALIMENTARY T.& METABOLISM,ALPHAPHARM,PIOGLITAZONE,VEXAZONE TABLETS 15 MG 28,32,567.28494
OCT24-SEP25,1/01/2025,202501,ALIMENTARY T.& METABOLISM,ALPHAPHARM,PIOGLITAZONE,VEXAZONE TABLETS 15 MG 28,103,1814.35892
OCT23-SEP24,1/10/2023,202310,ALIMENTARY T.& METABOLISM,ALPHAPHARM,PIOGLITAZONE,VEXAZONE TABLETS 30 MG 28,152,3440.52
OCT24-SEP25,1/10/2024,202410,ALIMENTARY T.& METABOLISM,ALPHAPHARM,PIOGLITAZONE,VEXAZONE TABLETS 30 MG 28,130,3008.89149
OCT23-SEP24,1/02/2024,202402,ALIMENTARY T.& METABOLISM,ALPHAPHARM,PIOGLITAZONE,VEXAZONE TABLETS 45 MG 28,84,2144.97443
OCT23-SEP24,1/01/2024,202401,ALIMENTARY T.& METABOLISM,ALPHAPHARM,PIOGLITAZONE,VEXAZONE TABLETS 45 MG 28,69,1729.87678
OCT23-SEP24,1/03/2024,202403,ALIMENTARY T.& METABOLISM,ALPHAPHARM,PIOGLITAZONE,VEXAZONE TABLETS 45 MG 28,73,1837.76938
OCT23-SEP24,1/04/2024,202404,ALIMENTARY T.& METABOLISM,ALPHAPHARM,PIOGLITAZONE,VEXAZONE TABLETS 45 MG 28,81,2073.68338
OCT24-SEP25,1/01/2025,202501,ALIMENTARY T.& METABOLISM,ALPHAPHARM,PIOGLITAZONE,VEXAZONE TABLETS 45 MG 28,77,1926.33222
OCT24-SEP25,1/10/2024,202410,ALIMENTARY T.& METABOLISM,ALPHAPHARM,RABEPRAZOLE,ZABEP TABLETS 20 MG 30,19077,306645.6081
OCT24-SEP25,1/01/2025,202501,ALIMENTARY T.& METABOLISM,ALPHAPHARM,RABEPRAZOLE,ZABEP TABLETS 20 MG 30,14967,239042.5942
OCT24-SEP25,1/07/2025,202507,ALIMENTARY T.& METABOLISM,ALPHAPHARM,SITAGLIPTIN,SITAGLIPTIN MYLAN FILM COATED TABLETS 100 MG 28,2040,67676.55304
OCT23-SEP24,1/08/2024,202408,ALIMENTARY T.& METABOLISM,ALPHAPHARM,SITAGLIPTIN,SITAGLIPTIN MYLAN FILM COATED TABLETS 25 MG 28,623,21979.61306
OCT24-SEP25,1/01/2025,202501,ALIMENTARY T.& METABOLISM,ALPHAPHARM,SITAGLIPTIN,SITAGLIPTIN MYLAN FILM COATED TABLETS 25 MG 28,644,23666.12896
OCT24-SEP25,1/02/2025,202502,ALIMENTARY T.& METABOLISM,ALPHAPHARM,SITAGLIPTIN,SITAGLIPTIN MYLAN FILM COATED TABLETS 25 MG 28,722,25968.65533
OCT24-SEP25,1/07/2025,202507,ALIMENTARY T.& METABOLISM,ALPHAPHARM,SITAGLIPTIN,SITAGLIPTIN MYLAN FILM COATED TABLETS 50 MG 28,1396,45546.36747
OCT24-SEP25,1/06/2025,202506,ALIMENTARY T.& METABOLISM,AMCAL,NYSTATIN,AMC NYSTATIN ORAL DROPS 24 ML,634,1835.07111
OCT24-SEP25,1/10/2024,202410,ALIMENTARY T.& METABOLISM,AMCAL,NYSTATIN,AMC NYSTATIN ORAL DROPS 24 ML,696,2459.20866
